name,birthplace,start_date,end_date,force
Zeki Doğan,İstanbul,,1950,Air Force
Muzaffer Göksenin,Manastır,,1953,Air Force
Fevzi Uçaner,Osmanlı İmparatorluğu,,1957,Air Force
Hamdullah Suphi Göker,İstanbul,,1959,Air Force
Tekin Arıburun,Osmanlı İmparatorluğu,,1960,Air Force
İhsan Orgun,İstanbul,,1960,Air Force
İrfan Tansel,İstanbul,,1961,Air Force
Süleyman Tulgan,Bursa,,1961,Air Force
İrfan Tansel,İstanbul,,1968,Air Force
Reşat Mater,Üsküp,,1969,Air Force
Muhsin Batur,İstanbul,,1973,Air Force
Emin Alpkaya,Niğde,,1976,Air Force
Cemal Engin,Osmanlı İmparatorluğu,,1976,Air Force
Ethem Ayan,Denizli,,1978,Air Force
Tahsin Şahinkaya,Amasya,,1983,Air Force
Halil Sözer,Bursa,,1986,Air Force
Cemil Çuha,Erzincan,,1988,Air Force
Saftar Necioğlu,,,1990,Air Force
Siyami Taştan,Erzurum,,1992,Air Force
Halis Burhan,Trabzon,,1995,Air Force
Ahmet Çörekçi,Çorum,,1997,Air Force
İlhan Kılıç,Türkiye,,1999,Air Force
Ergin Celasin,Türkiye,,2001,Air Force
Cumhur Asparuk,İzmir,,2003,Air Force
İbrahim Fırtına,Türkiye,,2005,Air Force
Faruk Cömert,Samsun,,2007,Air Force
Aydoğan Babaoğlu,Havza,,2009,Air Force
Hasan Aksay,,,2011,Air Force
Mehmet Erten,,,2013,Air Force
Akın Öztürk,Gümüşhane,,2015,Air Force
Abidin Ünal,Kayseri,,2017,Air Force
Hasan Küçükakyüz,Of,,2022,Air Force
Atilla Gülan,Türkiye,,2023,Air Force
Ziya Cemal Kadıoğlu,Türkiye,,Present,Air Force
Nuri Yamut,Selanik,1949-01-03,1950-06-05,Army
Kurtcebe Noyan,Sivas,1950-06-06,1951-05-07,Army
Şükrü Kanatlı,İstanbul,1951-12-28,1954-01-15,Army
Nurettin Baransel,Ankara,1954-04-06,1954-05-28,Army
