city,latitude,longitude,region,current_country
İstanbul,41.0082,28.9784,Marmara,Turkey
Ankara,39.9334,32.8597,Central Anatolia,Turkey
İzmir,38.4192,27.1287,Aegean,Turkey
Selanik,40.6401,22.9444,Macedonia,Greece
Edirne,41.6771,26.5557,Thrace,Turkey
Erzurum,39.9208,41.2675,Eastern Anatolia,Turkey
Trabzon,41.0015,39.7178,Black Sea,Turkey
Erzincan,39.7500,39.5000,Eastern Anatolia,Turkey
Alaşehir,38.3508,28.5169,Aegean,Turkey
Burdur,37.7261,30.2889,Mediterranean,Turkey
Elazığ,38.6748,39.2228,Eastern Anatolia,Turkey
Afyonkarahisar,38.7507,30.5567,Aegean,Turkey
Kastamonu,41.3887,33.7827,Black Sea,Turkey
Van,38.4891,43.4089,Eastern Anatolia,Turkey
