name,birthplace,start_year,end_year,status,url
Mehmet Ali Ülgen,İstanbul,1949,1950,found,https://tr.wikipedia.org/wiki/Mehmet_Ali_Ülgen
Sadık Altıncan,İstanbul,1950,1957,found,https://tr.wikipedia.org/wiki/Sadık_Altıncan
Fahri Korutürk,Osmanlı İmparatorluğu,1957,1960,found,https://tr.wikipedia.org/wiki/Fahri_Korutürk
Ahmet Zeki Özak,Osmanlı İmparatorluğu,1960,1961,found,https://tr.wikipedia.org/wiki/Ahmet_Zeki_Özak
Necdet Uran,İstanbul,1961,1968,found,https://tr.wikipedia.org/wiki/Necdet_Uran
Celal Eyiceoğlu,Osmanlı İmparatorluğu,1968,1972,found,https://tr.wikipedia.org/wiki/Celal_Eyiceoğlu
Kemal Kayacan,"Sinop,Osmanlı İmparatorluğu",1972,1974,found,https://tr.wikipedia.org/wiki/Kemal_Kayacan
Hilmi Fırat,İstanbul,1974,1977,found,https://tr.wikipedia.org/wiki/Hilmi_Fırat
Bülent Ulusu,İstanbul,1977,1980,found,https://tr.wikipedia.org/wiki/Bülent_Ulusu
Nejat Tümer,İstanbul,1980,1983,found,https://tr.wikipedia.org/wiki/Nejat_Tümer
Zahit Atakan,Adalar,1983,1986,found,https://tr.wikipedia.org/wiki/Zahit_Atakan
Emin Göksan,Balıkesir,1986,1988,found,https://tr.wikipedia.org/wiki/Emin_Göksan
Orhan Karabulut,Türkiye,1988,1990,found,https://tr.wikipedia.org/wiki/Orhan_Karabulut
İrfan Tınaz,İstanbul,1990,1992,found,https://tr.wikipedia.org/wiki/İrfan_Tınaz
Vural Beyazıt,Türkiye,1992,1995,found,https://tr.wikipedia.org/wiki/Vural_Beyazıt
Güven Erkaya,Manisa,1995,1997,found,https://tr.wikipedia.org/wiki/Güven_Erkaya
Salim Dervişoğlu,Kocaeli,1997,1999,found,https://tr.wikipedia.org/wiki/Salim_Dervişoğlu
İlhami Erdil,Ankara,1999,2001,found,https://tr.wikipedia.org/wiki/İlhami_Erdil
Bülent Alpkaya,Trabzon,2001,2003,found,https://tr.wikipedia.org/wiki/Bülent_Alpkaya
Özden Örnek,Kocaeli,2003,2005,found,https://tr.wikipedia.org/wiki/Özden_Örnek
Yener Karahanoğlu,Erzurum,2005,2007,found,https://tr.wikipedia.org/wiki/Yener_Karahanoğlu
Metin Ataç,Türkiye,2007,2009,found,https://tr.wikipedia.org/wiki/Metin_Ataç
Uğur Yiğit,Türkiye,2009,2011,found,https://tr.wikipedia.org/wiki/Uğur_Yiğit
Murat Bilgel,İstanbul,2011,2013,found,https://tr.wikipedia.org/wiki/Murat_Bilgel
Bülent Bostanoğlu,Zonguldak,2013,2017,found,https://tr.wikipedia.org/wiki/Bülent_Bostanoğlu
Adnan Özbal,Türkiye,2017,2022,found,https://tr.wikipedia.org/wiki/Adnan_Özbal
Ercüment Tatlıoğlu,Türkiye,2022,Present,found,https://tr.wikipedia.org/wiki/Ercüment_Tatlıoğlu
