position,№,Fotoğraf,wikipedia_link,Genelkurmay başkanı,Görev başlangıcı,Görev bitişi,Görev süresi,Branşı,Çatışma/savaşları,birth_year,birth_place,birth_date
Chief of General Staff,1,,https://tr.wikipedia.org/wiki/%C4%B0smet_%C4%B0n%C3%B6n%C3%BC,Mirlivaİsmet Paşa(1319-SAH.TOP.1),3 Mayıs 1920,10 Kasım 1921,"1 yıl, 191 gün",—,31 Mart VakasıBalkan SavaşlarıI. Dünya SavaşıTürk Kurtuluş Savaşı,,,
Chief of General Staff,2,,https://tr.wikipedia.org/wiki/Fevzi_%C3%87akmak,MareşalFevzi Çakmak(1311-C.P.7),3 Nisan 1921,12 Ocak 1944,"22 yıl, 284 gün",—,1910 Arnavut İsyanı1911 Arnavut İsyanıTrablusgarp SavaşıBalkan SavaşlarıI. Dünya SavaşıTürk Kurtuluş Savaşı,1876,"Anadolukavağı, İstanbul, Osmanlı İmparatorluğu","Mustafa Fevzi12 Ocak 1876(1876-01-12)Anadolukavağı, İstanbul, Osmanlı İmparatorluğu"
Chief of General Staff,3,,https://tr.wikipedia.org/wiki/K%C3%A2z%C4%B1m_Orbay,OrgeneralKâzım Orbay(1320-SAH.TOP.1),12 Ocak 1944,30 Temmuz 1946,"2 yıl, 199 gün",Türk Kara Kuvvetleri,31 Mart VakasıKaradağ Hudut OlaylarıBalkan SavaşlarıI. Dünya SavaşıTürk Kurtuluş SavaşıDersim İsyanı,1886,"İzmir, Osmanlı İmparatorluğu","Mehmet Kâzım11 Mart 1886(1886-03-11)İzmir, Osmanlı İmparatorluğu"
Chief of General Staff,4,,https://tr.wikipedia.org/wiki/Salih_Omurtak,OrgeneralSalih Omurtak(1323-P.1),1 Ağustos 1946,8 Haziran 1949,"2 yıl, 311 gün",Türk Kara Kuvvetleri,Trablusgarp SavaşıI. Dünya SavaşıTürk Kurtuluş SavaşıŞeyh Said İsyanıZilan KatliamıAğrı ayaklanmaları,1889,"İstanbul, Osmanlı İmparatorluğu","1889İstanbul, Osmanlı İmparatorluğu"
Chief of General Staff,−,,https://tr.wikipedia.org/wiki/Nuri_Yamut,OrgeneralNuri Yamut[a](1324-P.27)Vekâleten,3 Ocak 1949,10 Haziran 1949,151 gün,Türk Kara Kuvvetleri,Balkan SavaşlarıI. Dünya SavaşıTürk Kurtuluş Savaşı,1890,Selanik,1890Selanik
Chief of General Staff,5,,https://tr.wikipedia.org/wiki/Nafiz_G%C3%BCrman,OrgeneralNafiz Gürman(1319-P.5),10 Haziran 1949,6 Haziran 1950,361 gün,Türk Kara Kuvvetleri,Trablusgarp SavaşıBalkan SavaşlarıI. Dünya SavaşıTürk Kurtuluş Savaşı,1882,"Bodrum, Osmanlı İmparatorluğu","1882Bodrum, Osmanlı İmparatorluğu"
Chief of General Staff,6,,https://tr.wikipedia.org/wiki/Nuri_Yamut,OrgeneralNuri Yamut(1324-P.27),6 Haziran 1950,10 Nisan 1954,"3 yıl, 308 gün",Türk Kara Kuvvetleri,Balkan SavaşlarıI. Dünya SavaşıTürk Kurtuluş Savaşı,,,
Chief of General Staff,7,,https://tr.wikipedia.org/wiki/Nurettin_Baransel,OrgeneralNurettin Baransel(1328-B.P.8),28 Mayıs 1954,25 Ağustos 1955,"1 yıl, 89 gün",Türk Kara Kuvvetleri,Balkan SavaşlarıI. Dünya SavaşıTürk Kurtuluş Savaşı,1897,1897Ankara,1897Ankara
Chief of General Staff,8,,https://tr.wikipedia.org/wiki/Hakk%C4%B1_Tunaboylu,OrgeneralHakkı Tunaboylu(1330-C.TOP.3),25 Ağustos 1955,10 Ekim 1957,"2 yıl, 46 gün",Türk Kara Kuvvetleri,Balkan SavaşlarıI. Dünya SavaşıTürk Kurtuluş Savaşı,1895,"Rahova, Osmanlı İmparatorluğu","1895Rahova, Osmanlı İmparatorluğu"
Chief of General Staff,9,,https://tr.wikipedia.org/wiki/Feyzi_Meng%C3%BC%C3%A7,OrgeneralFeyzi Mengüç[b](1330-C.İS.39)Vekâleten,11 Ekim 1957,22 Ağustos 1958,315 gün,Türk Kara Kuvvetleri,I. Dünya SavaşıTürk Kurtuluş Savaşı,1896,İstanbul,18 Mayıs 1896İstanbul
