position,№,Fotoğraf,wikipedia_link,Komutan,Görev başlangıcı,Görev bitişi,birth_year,birth_place,birth_date
Commander of the Turkish Air Forces,1,,https://tr.wikipedia.org/wiki/Zeki_Do%C4%9Fan,Orgeneral Zeki Doğan,5 Şubat 1944,7 Haziran 1950,1895,İstanbul,1895İstanbul
Commander of the Turkish Air Forces,2,,https://tr.wikipedia.org/wiki/Muzaffer_G%C3%B6ksenin,Orgeneral Muzaffer Göksenin,12 Haziran 1950,20 Nisan 1953,1899,Manastır,1899Manastır
Commander of the Turkish Air Forces,3,,https://tr.wikipedia.org/wiki/Fevzi_U%C3%A7aner,Orgeneral Fevzi Uçaner,21 Nisan 1953,23 Eylül 1957,1900,"Erzincan, Osmanlı İmparatorluğu","1900Erzincan, Osmanlı İmparatorluğu"
Commander of the Turkish Air Forces,4,,https://tr.wikipedia.org/wiki/Hamdullah_Suphi_G%C3%B6ker,Korgeneral Hamdullah Suphi Göker,17 Ekim 1957,8 Mayıs 1959,1901,İstanbul,1901İstanbul
Commander of the Turkish Air Forces,5,,https://tr.wikipedia.org/wiki/Tekin_Ar%C4%B1burun,Orgeneral Tekin Arıburun,1 Mayıs 1959,27 Mayıs 1960,1341,"İştip, Osmanlı İmparatorluğu","Mehmed Tekin3 Ekim 1903İştip, Osmanlı İmparatorluğu"
Commander of the Turkish Air Forces,6,,https://tr.wikipedia.org/wiki/%C4%B0hsan_Orgun,Korgeneral İhsan Orgun,27 Mayıs 1960,4 Ağustos 1960,1898,İstanbul,1898İstanbul
Commander of the Turkish Air Forces,7,,https://tr.wikipedia.org/wiki/%C4%B0rfan_Tansel,Korgeneral İrfan Tansel,5 Ağustos 1960,1 Haziran 1961,1909,İstanbul,1909İstanbul
Commander of the Turkish Air Forces,8,,https://tr.wikipedia.org/wiki/S%C3%BCleyman_Tulgan,Tümgeneral Süleyman Tulgan,1 Haziran 1961,19 Haziran 1961,1915,Bursa,1915Bursa
Commander of the Turkish Air Forces,9,,https://tr.wikipedia.org/wiki/%C4%B0rfan_Tansel,Orgeneral İrfan Tansel,19 Haziran 1961,16 Ağustos 1968,,,
Commander of the Turkish Air Forces,10,,https://tr.wikipedia.org/wiki/Re%C5%9Fat_Mater,Orgeneral Reşat Mater,16 Ağustos 1968,30 Ağustos 1969,1911,Üsküp,1911Üsküp
Commander of the Turkish Air Forces,11,,https://tr.wikipedia.org/wiki/Muhsin_Batur,Orgeneral Muhsin Batur,30 Ağustos 1969,25 Ağustos 1973,1920,"Üsküdar, İstanbul, Osmanlı İmparatorluğu","5 Aralık 1920Üsküdar, İstanbul, Osmanlı İmparatorluğu"
Commander of the Turkish Air Forces,12,,https://tr.wikipedia.org/wiki/Emin_Alpkaya,Orgeneral Emin Alpkaya,25 Ağustos 1973,5 Mart 1976,1919,Niğde,1919Niğde
Commander of the Turkish Air Forces,13,,https://tr.wikipedia.org/wiki/Cemal_Engin,Korgeneral Cemal Engin,24 Nisan 1976,23 Temmuz 1976,1919,"1919İstanbul, Osmanlı İmparatorluğu","1919İstanbul, Osmanlı İmparatorluğu"
Commander of the Turkish Air Forces,14,,https://tr.wikipedia.org/wiki/Ethem_Ayan,Orgeneral Ethem Ayan,23 Temmuz 1976,21 Ağustos 1978,1918,"Sarayköy, Denizli, Osmanlı İmparatorluğu","1918Sarayköy, Denizli, Osmanlı İmparatorluğu"
Commander of the Turkish Air Forces,15,,https://tr.wikipedia.org/wiki/Tahsin_%C5%9Eahinkaya,Orgeneral Tahsin Şahinkaya,21 Ağustos 1978,6 Aralık 1983,1925,"Merzifon, Amasya, Türkiye","1 Mayıs 1925Merzifon, Amasya, Türkiye"
Commander of the Turkish Air Forces,16,,https://tr.wikipedia.org/wiki/Halil_S%C3%B6zer,Orgeneral Halil Sözer,6 Aralık 1983,22 Ağustos 1986,1923,"Gemlik, Bursa","10 Mart 1923(1923-03-10)Gemlik, Bursa"
Commander of the Turkish Air Forces,17,,https://tr.wikipedia.org/wiki/Cemil_%C3%87uha,Orgeneral Cemil Çuha,22 Ağustos 1986,22 Ağustos 1988,1923,"Refahiye, Erzincan","1923Refahiye, Erzincan"
Commander of the Turkish Air Forces,18,,https://tr.wikipedia.org/wiki/Saftar_Necio%C4%9Flu,Orgeneral Saftar Necioğlu,22 Ağustos 1988,20 Ağustos 1990,1931,Kilis,10 Ağustos 1931Kilis
Commander of the Turkish Air Forces,19,,https://tr.wikipedia.org/wiki/Siyami_Ta%C5%9Ftan,Orgeneral Siyami Taştan,20 Ağustos 1990,20 Ağustos 1992,1930,Erzurum,1930Erzurum
Commander of the Turkish Air Forces,20,,https://tr.wikipedia.org/wiki/Halis_Burhan,Orgeneral Halis Burhan,20 Ağustos 1992,18 Ağustos 1995,1933,"Sürmene, Trabzon","1 Eylül 1933 (92 yaşında)Sürmene, Trabzon"
Commander of the Turkish Air Forces,21,,https://tr.wikipedia.org/wiki/Ahmet_%C3%87%C3%B6rek%C3%A7i,Orgeneral Ahmet Çörekçi,18 Ağustos 1995,28 Ağustos 1997,1932,"Osmancık, Çorum, Türkiye","10 Haziran 1932 (93 yaşında)Osmancık, Çorum, Türkiye"
