position,№,Fotoğraf,wikipedia_link,Komutan,Görev başlangıcı,Görev bitişi,birth_year,birth_place,birth_date
Commander of the Turkish Army,1,,https://tr.wikipedia.org/wiki/Nuri_Yamut,Orgeneral Nuri Yamut,3 Ocak 1949,5 Haziran 1950,,,
Commander of the Turkish Army,2,,https://tr.wikipedia.org/wiki/Kurtcebe_Noyan,Orgeneral Kurtcebe Noyan,6 Haziran 1950,7 Mayıs 1951,1888,"Sivas, Osmanlı İmparatorluğu","1888Sivas, Osmanlı İmparatorluğu"
Commander of the Turkish Army,3,,https://tr.wikipedia.org/wiki/%C5%9E%C3%BCkr%C3%BC_Kanatl%C4%B1,Orgeneral Şükrü Kanatlı,28 Aralık 1951,15 Ocak 1954,1893,İstanbul,1893İstanbul
Commander of the Turkish Army,4,,https://tr.wikipedia.org/wiki/Nurettin_Baransel,Orgeneral Nurettin Baransel,6 Nisan 1954,28 Mayıs 1954,,,
Commander of the Turkish Army,5,,https://tr.wikipedia.org/wiki/Abd%C3%BClkadir_Seven,Orgeneral Abdülkadir Seven,10 Temmuz 1954,25 Nisan 1955,1891,Selanik,1891Selanik
Commander of the Turkish Army,6,,https://tr.wikipedia.org/wiki/Hakk%C4%B1_Tunaboylu,Orgeneral Hakkı Tunaboylu,13 Eylül 1955,6 Haziran 1956,,,
Commander of the Turkish Army,7,,https://tr.wikipedia.org/wiki/Nurettin_Aknoz,Orgeneral Nurettin Aknoz,25 Haziran 1956,16 Eylül 1957,1898,İstanbul,1898İstanbul
Commander of the Turkish Army,8,,https://tr.wikipedia.org/wiki/Necati_Tacan,Orgeneral Necati Tacan,30 Kasım 1957,28 Temmuz 1958,1895,"İstanbul, Osmanlı İmparatorluğu","1895İstanbul, Osmanlı İmparatorluğu"
Commander of the Turkish Army,9,,https://tr.wikipedia.org/wiki/R%C3%BC%C5%9Ft%C3%BC_Erdelhun,Orgeneral Rüştü Erdelhun,1 Ağustos 1958,21 Ağustos 1958,,,
Commander of the Turkish Army,10,,https://tr.wikipedia.org/wiki/Cemal_G%C3%BCrsel,Orgeneral Cemal Gürsel,21 Ağustos 1958,2 Haziran 1960,1895,"[1], Erzurum, Osmanlı Devleti","10 Haziran 1895[1]Erzurum, Osmanlı Devleti"
Commander of the Turkish Army,11,,https://tr.wikipedia.org/wiki/Cevdet_Sunay,Orgeneral Cevdet Sunay,3 Haziran 1960,2 Ağustos 1960,,,
Commander of the Turkish Army,12,,https://tr.wikipedia.org/wiki/Muzaffer_Alanku%C5%9F,Orgeneral Muzaffer Alankuş,4 Ağustos 1960,6 Ocak 1961,1331,"Erzurum, Osmanlı İmparatorluğu","1898Erzurum, Osmanlı İmparatorluğu"
Commander of the Turkish Army,13,,https://tr.wikipedia.org/wiki/Celal_Alko%C3%A7,Korgeneral Celal Alkoç,6 Mart 1961,26 Haziran 1961,1902,Manastır,1902Manastır
Commander of the Turkish Army,14,,https://tr.wikipedia.org/wiki/Muhittin_%C3%96n%C3%BCr,Orgeneral Muhittin Önür,31 Ağustos 1961,23 Şubat 1962,1903,"Hasköy, Havsa, Edirne","1903Hasköy, Havsa, Edirne"
Commander of the Turkish Army,15,,https://tr.wikipedia.org/wiki/Ali_Keskiner,Orgeneral Ali Keskiner,23 Şubat 1962,28 Ağustos 1964,1906,İstanbul,1906İstanbul
Commander of the Turkish Army,16,,https://tr.wikipedia.org/wiki/Cemal_Tural,Orgeneral Cemal Tural,28 Ağustos 1964,15 Mart 1966,,,
Commander of the Turkish Army,17,,https://tr.wikipedia.org/wiki/Refik_Y%C4%B1lmaz,Orgeneral Refik Yılmaz,21 Mart 1966,23 Ağustos 1968,1904,"1904Eyüp, İstanbul","1904Eyüp, İstanbul"
Commander of the Turkish Army,18,,https://tr.wikipedia.org/wiki/Memduh_Ta%C4%9Fma%C3%A7,Orgeneral Memduh Tağmaç,23 Ağustos 1968,16 Mart 1969,,,
