position,№,wikipedia_link,Adı,Görev Başlangıcı,Görev Bitişi,birth_year,birth_place,birth_date
Governor of the Central Bank,1,https://tr.wikipedia.org/wiki/Selahattin_%C3%87am,Selahattin Çam,9 Haziran 1931,21 Mart 1938,1885,İstanbul - ö. 3 Şubat 1949,
Governor of the Central Bank,2,https://tr.wikipedia.org/wiki/Kemal_Zaim_Sunel,Kemal Zaim Sunel,21 Mart 1938,9 Mart 1949,1889,"1889Nevrekop, Selanik","1889Nevrekop, Selanik"
Governor of the Central Bank,3,https://tr.wikipedia.org/wiki/Mehmet_Sadi_Bekter,Mehmet Sadi Bekter,31 Mart 1949,4 Ekim 1950,1907,,
Governor of the Central Bank,4,https://tr.wikipedia.org/wiki/Osman_Nuri_G%C3%B6ver,Osman Nuri Göver,13 Nisan 1951,28 Mayıs 1953,1989,,
Governor of the Central Bank,5,https://tr.wikipedia.org/wiki/Mustafa_Nail_Gidel,Mustafa Nail Gidel,20 Temmuz 1953,16 Temmuz 1960,1909,Vodina,1909Vodina
Governor of the Central Bank,6,https://tr.wikipedia.org/wiki/Memduh_Ayt%C3%BCr,Memduh Aytür,21 Temmuz 1960,7 Kasım 1960,1917,,
Governor of the Central Bank,7,https://tr.wikipedia.org/wiki/%C4%B0brahim_M%C3%BCnir_Mostar,İbrahim Münir Mostar,23 Kasım 1960,28 Ağustos 1962,1915,Beşiktaş,1915Beşiktaş
Governor of the Central Bank,8,https://tr.wikipedia.org/wiki/Ziya_Kayla,Ziya Kayla,28 Haziran 1963,13 Ocak 1966,1912,,
Governor of the Central Bank,9,https://tr.wikipedia.org/wiki/Mehmet_Naim_Talu,Mehmet Naim Talu,14 Temmuz 1967,11 Aralık 1971,1919,"İstanbul, Osmanlı İmparatorluğu","Mehmet Naim22 Temmuz 1919(1919-07-22)İstanbul, Osmanlı İmparatorluğu"
Governor of the Central Bank,10,https://tr.wikipedia.org/wiki/Memduh_G%C3%BCpg%C3%BCpo%C4%9Flu,Memduh Güpgüpoğlu,25 Temmuz 1972,9 Ocak 1975,1921,,
Governor of the Central Bank,11,https://tr.wikipedia.org/wiki/Cafer_Tayyar_Sad%C4%B1klar,Cafer Tayyar Sadıklar,26 Haziran 1976,18 Eylül 1978,1932,"Niğde, Türkiye","1932 (93-94 yaşında)Niğde, Türkiye"
Governor of the Central Bank,12,https://tr.wikipedia.org/wiki/%C4%B0smail_Hakk%C4%B1_Ayd%C4%B1no%C4%9Flu,İsmail Hakkı Aydınoğlu,21 Ekim 1978,10 Ocak 1981,1933,"Beydağ, İzmir - ö. 1 Kasım 2017",
Governor of the Central Bank,13,https://tr.wikipedia.org/wiki/Osman_%C5%9E%C4%B1klar,Osman Şıklar,12 Ocak 1981,4 Ocak 1984,1929,Bilecik,
