position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Education,1,https://tr.wikipedia.org/wiki/R%C4%B1za_Nur,Rıza Nur,4 Mayıs 1920,13 Aralık 1920,,Bağımsız,,1879,"Sinop, Osmanlı İmparatorluğu","30 Ağustos 1879Sinop, Osmanlı İmparatorluğu"
Minister of Education,2,https://tr.wikipedia.org/wiki/Hamdullah_Suphi_Tanr%C4%B1%C3%B6ver,Hamdullah Suphi Tanrıöver,14 Aralık 1920,20 Kasım 1921,,,,1885,"İstanbul, Osmanlı İmparatorluğu","1885İstanbul, Osmanlı İmparatorluğu"
Minister of Education,3,https://tr.wikipedia.org/wiki/Mehmet_Vehbi_Bolak,Mehmet Vehbi Bolak,20 Kasım 1921,5 Kasım 1922,,,,1881,"Balıkesir, Osmanlı İmparatorluğu","1882Balıkesir, Osmanlı İmparatorluğu"
Minister of Education,4,https://tr.wikipedia.org/wiki/%C4%B0smail_Safa_%C3%96zler,İsmail Safa Özler,5 Kasım 1922,27 Ekim 1923,,,,,,
Minister of Education,1,https://tr.wikipedia.org/wiki/%C4%B0smail_Safa_%C3%96zler,İsmail Safa Özler,30 Ekim 1923,6 Mart 1924,,Cumhuriyet Halk Partisi,,,,
Minister of Education,2,https://tr.wikipedia.org/wiki/H%C3%BCseyin_Vas%C4%B1f_%C3%87%C4%B1nar,Hüseyin Vasıf Çınar,6 Mart 1924,22 Kasım 1924,,,,1896,"Kandiye, Girit, Osmanlı İmparatorluğu","1896Kandiye, Girit, Osmanlı İmparatorluğu"
Minister of Education,3,https://tr.wikipedia.org/wiki/%C5%9E%C3%BCkr%C3%BC_Saraco%C4%9Flu,Şükrü Saracoğlu,22 Kasım 1924,3 Mart 1925,,,,,,
Minister of Education,4,https://tr.wikipedia.org/wiki/Hamdullah_Suphi_Tanr%C4%B1%C3%B6ver,Hamdullah Suphi Tanrıöver,3 Mart 1925,19 Aralık 1925,,,,,,
Minister of Education,5,https://tr.wikipedia.org/wiki/Mustafa_Necati_U%C4%9Fural,Mustafa Necati Uğural,20 Aralık 1925,5 Ocak 1929,,,,,,
Minister of Education,-,https://tr.wikipedia.org/wiki/%C4%B0smet_%C4%B0n%C3%B6n%C3%BC,İsmet İnönü (vekil),5 Ocak 1929,2 Mart 1929,,,,,,
Minister of Education,(2),https://tr.wikipedia.org/wiki/H%C3%BCseyin_Vas%C4%B1f_%C3%87%C4%B1nar,Hüseyin Vasıf Çınar,2 Mart 1929,13 Nisan 1929,,,,,,
Minister of Education,6,https://tr.wikipedia.org/wiki/Cemal_H%C3%BCsn%C3%BC_Taray,Cemal Hüsnü Taray,13 Nisan 1929,22 Eylül 1930,,,,1893,"Gümüşhane, Osmanlı İmparatorluğu","1893Gümüşhane, Osmanlı İmparatorluğu"
Minister of Education,7,https://tr.wikipedia.org/wiki/Esat_Sagay,Esat Sagay,27 Eylül 1930,18 Eylül 1932,,,,1874,"Karaferye, Selanik, Osmanlı İmparatorluğu","1874Karaferye, Selanik, Osmanlı İmparatorluğu"
Minister of Education,8,https://tr.wikipedia.org/wiki/Re%C5%9Fit_Galip,Reşit Galip,19 Eylül 1932,13 Ağustos 1933,,,,1893,"Rodos, Osmanlı İmparatorluğu","1893Rodos, Osmanlı İmparatorluğu"
Minister of Education,-,https://tr.wikipedia.org/wiki/Refik_Saydam,Refik Saydam (vekil),13 Ağustos 1933,26 Ekim 1933,,,,,,
Minister of Education,9,https://tr.wikipedia.org/wiki/Yusuf_Hikmet_Bayur,Yusuf Hikmet Bayur,27 Ekim 1933,8 Temmuz 1934,,,,1891,"[1], İstanbul, Osmanlı İmparatorluğu","Yusuf Hikmet[1]1891İstanbul, Osmanlı İmparatorluğu"
Minister of Education,10,https://tr.wikipedia.org/wiki/Zeynel_Abidin_%C3%96zmen,Zeynel Abidin Özmen,9 Temmuz 1934,9 Haziran 1935,,,,1890,"Niğde, Osmanlı İmparatorluğu","Zeynel Abidin1890Niğde, Osmanlı İmparatorluğu"
Minister of Education,11,https://tr.wikipedia.org/wiki/Saffet_Ar%C4%B1kan,Saffet Arıkan,9 Haziran 1935,28 Aralık 1938,,,,1323,"Erzincan, Osmanlı İmparatorluğu","1888Erzincan, Osmanlı İmparatorluğu"
Minister of Education,12,https://tr.wikipedia.org/wiki/Hasan_%C3%82li_Y%C3%BCcel,Hasan Âli Yücel,28 Aralık 1938,5 Ağustos 1946,,,,1897,"İstanbul, Osmanlı İmparatorluğu","17 Aralık 1897(1897-12-17)İstanbul, Osmanlı İmparatorluğu"
Minister of Education,13,https://tr.wikipedia.org/wiki/Re%C5%9Fat_%C5%9Eemsettin_Sirer,Reşat Şemsettin Sirer,5 Ağustos 1946,9 Haziran 1948,,,,1903,,
Minister of Education,14,https://tr.wikipedia.org/wiki/Hasan_Tahsin_Banguo%C4%9Flu,Hasan Tahsin Banguoğlu,10 Haziran 1948,22 Mayıs 1950,,,,1904,"Drama, Osmanlı İmparatorluğu, Yunanistan","1904Drama, Osmanlı İmparatorluğu), (günümüzde Yunanistan)"
Minister of Education,15,https://tr.wikipedia.org/wiki/H%C3%BCseyin_Avni_Ba%C5%9Fman,Hüseyin Avni Başman,22 Mayıs 1950,2 Ağustos 1950,,Demokrat Parti,,1887,,
Minister of Education,-,https://tr.wikipedia.org/wiki/Nuri_%C3%96zsan,Nuri Özsan (vekil),3 Ağustos 1950,10 Ağustos 1950,,,,1906,"Muğla, Osmanlı İmparatorluğu","1906Muğla, Osmanlı İmparatorluğu"
Minister of Education,16,https://tr.wikipedia.org/wiki/Ahmet_Tevfik_%C4%B0leri,Ahmet Tevfik İleri,11 Ağustos 1950,5 Nisan 1953,,,,1911,"Hemşin, Rize","1911Hemşin, Rize"
