position,№,wikipedia_link,Bakan,Göreve Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,Görev Başlangıcı,birth_year,birth_place,birth_date
Minister of Finance & Treasury,1,https://tr.wikipedia.org/wiki/Hakk%C4%B1_Behi%C3%A7_Bayi%C3%A7,Hakkı Behiç Bayiç,3 Mayıs 1920,17 Temmuz 1920,,Bağımsız,,,,,
Minister of Finance & Treasury,2,https://tr.wikipedia.org/wiki/Ahmet_Ferit_Tek,Ahmet Ferit Tek,17 Temmuz 1920,19 Mayıs 1921,,,,,,,
Minister of Finance & Treasury,3,https://tr.wikipedia.org/wiki/Hasan_Saka,Hasan Saka,19 Mayıs 1921,22 Nisan 1922,,,,,,,
Minister of Finance & Treasury,4,https://tr.wikipedia.org/wiki/Hasan_Fehmi_Ata%C3%A7,Hasan Fehmi Ataç,22 Nisan 1922,27 Ekim 1923,,,,,1879,"Gümüşhane, Osmanlı İmparatorluğu","1879Gümüşhane, Osmanlı İmparatorluğu"
Minister of Finance & Treasury,1,https://tr.wikipedia.org/wiki/Hasan_Fehmi_Ata%C3%A7,Hasan Fehmi Ataç,30 Ekim 1923,2 Ocak 1924,,Cumhuriyet Halk Partisi,,,,,
Minister of Finance & Treasury,2,https://tr.wikipedia.org/wiki/Abd%C3%BClhalik_Renda,Abdülhalik Renda,2 Ocak 1924,21 Mayıs 1924,,,,,1881,"Yanya, Osmanlı İmparatorluğu","Mustafa Abdülhalik29 Kasım 1881(1881-11-29)Yanya, Osmanlı İmparatorluğu"
Minister of Finance & Treasury,3,https://tr.wikipedia.org/wiki/Recep_Peker,Recep Peker,21 Mayıs 1924,22 Kasım 1924,,,,,,,
Minister of Finance & Treasury,(2),https://tr.wikipedia.org/wiki/Abd%C3%BClhalik_Renda,Abdülhalik Renda,22 Kasım 1924,3 Mart 1925,,,,,,,
Minister of Finance & Treasury,4,https://tr.wikipedia.org/wiki/Hasan_Saka,Hasan Saka,3 Mart 1925,13 Temmuz 1926,,,,,,,
Minister of Finance & Treasury,(2),https://tr.wikipedia.org/wiki/Abd%C3%BClhalik_Renda,Abdülhalik Renda,13 Temmuz 1926,1 Kasım 1927,,,,,,,
Minister of Finance & Treasury,5,https://tr.wikipedia.org/wiki/%C5%9E%C3%BCkr%C3%BC_Saraco%C4%9Flu,Şükrü Saracoğlu,1 Kasım 1927,25 Aralık 1930,,,,,,,
Minister of Finance & Treasury,(2),https://tr.wikipedia.org/wiki/Abd%C3%BClhalik_Renda,Abdülhalik Renda,25 Aralık 1930,3 Şubat 1934,,,,,,,
Minister of Finance & Treasury,6,https://tr.wikipedia.org/wiki/Fuat_A%C4%9Fral%C4%B1,Fuat Ağralı,3 Şubat 1934,13 Eylül 1944,,,,,1878,"[1], [1], Midilli Adası, Osmanlı İmparatorluğu","Ali Fuat[1]1878[1]Midilli Adası, Osmanlı İmparatorluğu"
