position,№,wikipedia_link,Bakan,Göreve Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,Görev Başlangıcı,birth_year,birth_place,birth_date
Minister of Foreign Relations,1,https://tr.wikipedia.org/wiki/Bekir_Sami_Kunduh,Bekir Sami Kunduh,3 Mayıs 1920,8 Mayıs 1921,,Bağımsız,,,1867,"Saniba, Osetya, Rusya İmparatorluğu","1867Saniba, Osetya, Rusya İmparatorluğu"
Minister of Foreign Relations,2,https://tr.wikipedia.org/wiki/Ahmet_Muhtar_Mollao%C4%9Flu,Ahmet Muhtar Mollaoğlu,8 Mayıs 1921,16 Mayıs 1921,,,,,1870,"Çanakkale, Osmanlı İmparatorluğu","Ahmed Muhtar1870Çanakkale, Osmanlı İmparatorluğu"
Minister of Foreign Relations,3,https://tr.wikipedia.org/wiki/Yusuf_Kemal_Tengir%C5%9Fenk,Yusuf Kemal Tengirşenk,16 Mayıs 1921,25 Ekim 1922,,,,,1878,"Boyabat, Sinop","Yusuf Kemal1878Boyabat, Sinop"
Minister of Foreign Relations,4,https://tr.wikipedia.org/wiki/%C4%B0smet_%C4%B0n%C3%B6n%C3%BC,İsmet İnönü,26 Ekim 1922,30 Ekim 1923,,,,,1884,"[1], İzmir, Osmanlı İmparatorluğu","Mustafa İsmet[1]24 Eylül 1884(1884-09-24)İzmir, Osmanlı İmparatorluğu"
Minister of Foreign Relations,1,https://tr.wikipedia.org/wiki/%C4%B0smet_%C4%B0n%C3%B6n%C3%BC,İsmet İnönü,30 Ekim 1923,21 Kasım 1924,,Cumhuriyet Halk Partisi,,,,,
Minister of Foreign Relations,2,https://tr.wikipedia.org/wiki/%C5%9E%C3%BCkr%C3%BC_Kaya,Şükrü Kaya,21 Kasım 1924,4 Mart 1925,,,,,,,
Minister of Foreign Relations,3,https://tr.wikipedia.org/wiki/Tevfik_R%C3%BC%C5%9Ft%C3%BC_Aras,Tevfik Rüştü Aras,4 Mart 1925,11 Kasım 1938,,,,,1883,"Çanakkale, Osmanlı Devleti","Ahmet Tevfik Rüştü11 Şubat 1883(1883-02-11)Çanakkale, Osmanlı Devleti"
Minister of Foreign Relations,4,https://tr.wikipedia.org/wiki/%C5%9E%C3%BCkr%C3%BC_Saraco%C4%9Flu,Şükrü Saracoğlu,11 Kasım 1938,13 Ağustos 1942,,,,,1886,"Ödemiş, Osmanlı İmparatorluğu","1 Temmuz 1886Ödemiş, Osmanlı İmparatorluğu"
Minister of Foreign Relations,5,https://tr.wikipedia.org/wiki/Numan_Menemencio%C4%9Flu,Numan Menemencioğlu,13 Ağustos 1942,26 Haziran 1944,,,,,1891,"Bağdat, Osmanlı İmparatorluğu","Hüseyin Nuğman Kemal1891Bağdat, Osmanlı İmparatorluğu"
Minister of Foreign Relations,6,https://tr.wikipedia.org/wiki/Hasan_Saka,Hasan Saka,13 Eylül 1944,10 Eylül 1947,,,,,1885,"Trabzon, Osmanlı İmparatorluğu","Hasan Hüsnü1885Trabzon, Osmanlı İmparatorluğu"
Minister of Foreign Relations,7,https://tr.wikipedia.org/wiki/Necmettin_Sadak,Necmettin Sadak,10 Eylül 1947,22 Mayıs 1950,,,,,1890,"Isparta, Osmanlı İmparatorluğu","Sadık Necmettin1890Isparta, Osmanlı İmparatorluğu"
Minister of Foreign Relations,8,https://tr.wikipedia.org/wiki/Mehmet_Fuad_K%C3%B6pr%C3%BCl%C3%BC,Mehmet Fuad Köprülü,22 Mayıs 1950,15 Nisan 1955,,Demokrat Parti,,,1890,"İstanbul, Osmanlı İmparatorluğu","4 Aralık 1890İstanbul, Osmanlı İmparatorluğu"
Minister of Foreign Relations,(8),https://tr.wikipedia.org/wiki/Mehmet_Fuad_K%C3%B6pr%C3%BCl%C3%BC,Mehmet Fuad Köprülü,9 Aralık 1955,25 Kasım 1957,,,,,,,
Minister of Foreign Relations,9,https://tr.wikipedia.org/wiki/Fatin_R%C3%BC%C5%9Ft%C3%BC_Zorlu,Fatin Rüştü Zorlu,25 Kasım 1957,27 Mayıs 1960,,,,,1910,"[1], İstanbul, Osmanlı İmparatorluğu","Ahmet Fatin[1]20 Nisan 1910(1910-04-20)İstanbul, Osmanlı İmparatorluğu"
Minister of Foreign Relations,10,https://tr.wikipedia.org/wiki/Selim_Rauf_Sarper,Selim Rauf Sarper,30 Mayıs 1960,16 Şubat 1962,,Askerî,,,1899,"[1], İstanbul, Osmanlı İmparatorluğu","Selim Rauf[1]14 Haziran 1899İstanbul, Osmanlı İmparatorluğu"
Minister of Foreign Relations,11,https://tr.wikipedia.org/wiki/Feridun_Cemal_Erkin,Feridun Cemal Erkin,1 Nisan 1962,20 Şubat 1965,,Cumhuriyet Halk Partisi,,,1899,"İstanbul, Osmanlı İmparatorluğu","1899İstanbul, Osmanlı İmparatorluğu"
Minister of Foreign Relations,12,https://tr.wikipedia.org/wiki/Hasan_Esat_I%C5%9F%C4%B1k,Hasan Esat Işık,20 Şubat 1965,27 Ekim 1965,,,,,1916,"İstanbul, Osmanlı İmparatorluğu","1916İstanbul, Osmanlı İmparatorluğu"
Minister of Foreign Relations,13,https://tr.wikipedia.org/wiki/%C4%B0hsan_Sabri_%C3%87a%C4%9Flayangil,İhsan Sabri Çağlayangil,27 Ekim 1965,26 Mart 1971,,Adalet Partisi,,,1908,"İstanbul, Osmanlı İmparatorluğu","1 Ocak 1908(1908-01-01)İstanbul, Osmanlı İmparatorluğu"
Minister of Foreign Relations,14,https://tr.wikipedia.org/wiki/Osman_Olcay,Osman Olcay,26 Mart 1971,3 Aralık 1971,,Bağımsız,,,1924,"İstanbul, Türkiye","1924İstanbul, Türkiye"
Minister of Foreign Relations,15,https://tr.wikipedia.org/wiki/%C3%9Cmit_Haluk_Bay%C3%BClken,Ümit Haluk Bayülken,11 Aralık 1971,26 Ocak 1974,,,,,1921,"İstanbul, Osmanlı İmparatorluğu","1921İstanbul, Osmanlı İmparatorluğu"
Minister of Foreign Relations,16,https://tr.wikipedia.org/wiki/Turan_G%C3%BCne%C5%9F,Turan Güneş,26 Ocak 1974,17 Kasım 1974,,Cumhuriyet Halk Partisi,,,1921,"[1], Kandıra, Kocaeli, Osmanlı İmparatorluğu","25 Haziran 1921(1921-06-25)[1]Kandıra, Kocaeli, Osmanlı İmparatorluğu"
Minister of Foreign Relations,17,https://tr.wikipedia.org/wiki/Melih_Esenbel,Melih Esenbel,17 Kasım 1974,31 Mart 1975,,Bağımsız,,,1915,"İstanbul, Osmanlı İmparatorluğu","Melih Rauf Esenbel1915İstanbul, Osmanlı İmparatorluğu"
Minister of Foreign Relations,(13),https://tr.wikipedia.org/wiki/%C4%B0hsan_Sabri_%C3%87a%C4%9Flayangil,İhsan Sabri Çağlayangil,31 Mart 1975,21 Haziran 1977,,Adalet Partisi,,,,,
Minister of Foreign Relations,18,https://tr.wikipedia.org/wiki/Ahmet_G%C3%BCnd%C3%BCz_%C3%96k%C3%A7%C3%BCn,Ahmet Gündüz Ökçün,21 Haziran 1977,21 Temmuz 1977,,Cumhuriyet Halk Partisi,,,1936,"Eskişehir, Türkiye","1936Eskişehir, Türkiye"
Minister of Foreign Relations,(13),https://tr.wikipedia.org/wiki/%C4%B0hsan_Sabri_%C3%87a%C4%9Flayangil,İhsan Sabri Çağlayangil,21 Temmuz 1977,5 Ocak 1978,,Adalet Partisi,,,,,
Minister of Foreign Relations,(18),https://tr.wikipedia.org/wiki/Ahmet_G%C3%BCnd%C3%BCz_%C3%96k%C3%A7%C3%BCn,Ahmet Gündüz Ökçün,5 Ocak 1978,12 Kasım 1979,,Cumhuriyet Halk Partisi,,,,,
Minister of Foreign Relations,19,https://tr.wikipedia.org/wiki/Hayrettin_Erkmen,Hayrettin Erkmen,12 Kasım 1979,5 Eylül 1980,,Adalet Partisi,,,1915,"Giresun, Türkiye","1915Giresun, Türkiye"
Minister of Foreign Relations,20,https://tr.wikipedia.org/wiki/%C4%B0lter_T%C3%BCrkmen,İlter Türkmen,21 Eylül 1980,13 Aralık 1983,,Askerî,,,1927,"İstanbul, Türkiye","8 Kasım 1927(1927-11-08)İstanbul, Türkiye"
