position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Interior,1,https://tr.wikipedia.org/wiki/Cami_Baykut,Cami Baykut,3 Mayıs 1920,13 Temmuz 1920,,Bağımsız,,1877,"İstanbul, Bağdat, Osmanlı İmparatorluğu","Abdülkadir1877İstanbul veya Bağdat, Osmanlı İmparatorluğu"
Minister of Interior,2,https://tr.wikipedia.org/wiki/Hakk%C4%B1_Behi%C3%A7_Bayi%C3%A7,Hakkı Behiç Bayiç,17 Temmuz 1920,4 Eylül 1920,,,,1886,"İstanbul, Osmanlı İmparatorluğu","Hakkı Behiç1886İstanbul, Osmanlı İmparatorluğu"
Minister of Interior,3,https://tr.wikipedia.org/wiki/Naz%C4%B1m_Resmor,Nazım Resmor,4 Eylül 1920,6 Eylül 1920,,,,1867,"Erzurum, Osmanlı İmparatorluğu","Nâzım Resmor1866Erzurum, Osmanlı İmparatorluğu"
Minister of Interior,4,https://tr.wikipedia.org/wiki/Refet_Bele,Refet Bele,6 Eylül 1920,18 Mart 1921,,,,1881,"Selanik Vilayeti, Osmanlı İmparatorluğu","İbrahim Refet1881Selanik Vilayeti, Osmanlı İmparatorluğu"
Minister of Interior,5,https://tr.wikipedia.org/wiki/Ata_Atalay,Ata Atalay,21 Nisan 1921,30 Haziran 1921,,,,1882,Nevşehir,Ataullah1882Nevşehir
Minister of Interior,6,https://tr.wikipedia.org/wiki/Refet_Bele,Refet Bele,30 Haziran 1921,10 Ekim 1921,,,,,,
Minister of Interior,7,https://tr.wikipedia.org/wiki/Fethi_Okyar,Fethi Okyar,10 Ekim 1921,9 Temmuz 1922,,,,1316,"Pirlepe, Osmanlı","29 Nisan 1880Pirlepe, Osmanlı"
Minister of Interior,8,https://tr.wikipedia.org/wiki/%C4%B0smail_Safa_%C3%96zler,İsmail Safa Özler,12 Temmuz 1922,5 Kasım 1922,,,,1885,"[1], Adana, Osmanlı İmparatorluğu","1885[1]Adana, Osmanlı İmparatorluğu"
Minister of Interior,9,https://tr.wikipedia.org/wiki/Fethi_Okyar,Fethi Okyar,5 Kasım 1922,27 Ekim 1923,,,,,,
Minister of Interior,1,https://tr.wikipedia.org/wiki/Ahmet_Ferit_Tek,Ahmet Ferit Tek,30 Ekim 1923,22 Kasım 1924,,Cumhuriyet Halk Partisi,,1878,"Bursa, Osmanlı İmparatorluğu","Ahmed Ferid7 Mart 1878(1878-03-07)Bursa, Osmanlı İmparatorluğu"
Minister of Interior,2,https://tr.wikipedia.org/wiki/Recep_Peker,Recep Peker,22 Kasım 1924,5 Ocak 1925,,,,1889,"İstanbul, Osmanlı Devleti","5 Şubat 1889(1889-02-05)İstanbul, Osmanlı Devleti"
Minister of Interior,3,https://tr.wikipedia.org/wiki/Cemil_Uybad%C4%B1n,Cemil Uybadın,5 Ocak 1925,1 Kasım 1927,,,,1317,"İstanbul, Osmanlı Devleti","1880İstanbul, Osmanlı Devleti"
Minister of Interior,4,https://tr.wikipedia.org/wiki/%C5%9E%C3%BCkr%C3%BC_Kaya,Şükrü Kaya,1 Kasım 1927,11 Kasım 1938,,,,1883,"İstanköy, Osmanlı İmparatorluğu","Mehmed Şükrü1883İstanköy, Osmanlı İmparatorluğu"
Minister of Interior,5,https://tr.wikipedia.org/wiki/Refik_Saydam,Refik Saydam,11 Kasım 1938,25 Ocak 1939,,,,1881,"İstanbul, Osmanlı Devleti","İbrahim Refik8 Eylül 1881İstanbul, Osmanlı Devleti"
Minister of Interior,6,"https://tr.wikipedia.org/wiki/Faik_%C3%96ztrak_(siyaset%C3%A7i,_1882)",Faik Öztrak,25 Ocak 1939,6 Mayıs 1942,,,,1882,"Malkara, Osmanlı İmparatorluğu","1882Malkara, Osmanlı İmparatorluğu"
Minister of Interior,7,https://tr.wikipedia.org/wiki/Ahmet_Fikri_T%C3%BCzer,Ahmet Fikri Tüzer,6 Mayıs 1942,16 Ağustos 1942,,,,1878,"Şumnu, Osmanlı İmparatorluğu","Ahmed Fikri1878Şumnu, Osmanlı İmparatorluğu"
Minister of Interior,(2),https://tr.wikipedia.org/wiki/Recep_Peker,Recep Peker,17 Ağustos 1942,20 Mayıs 1943,,,,,,
Minister of Interior,8,https://tr.wikipedia.org/wiki/Hilmi_Uran,Hilmi Uran,20 Mayıs 1943,7 Ağustos 1946,,,,1886,"Bodrum, Osmanlı İmparatorluğu","1886Bodrum, Osmanlı İmparatorluğu"
