position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Justice,1,https://tr.wikipedia.org/wiki/Celalettin_Arif,Celalettin Arif,3 Mayıs 1920,30 Mart 1921,,Bağımsız,,1875,"Erzurum, Osmanlı Devleti","1875Erzurum, Osmanlı Devleti"
Minister of Justice,2,https://tr.wikipedia.org/wiki/Yusuf_Kemal_Tengir%C5%9Fenk,Yusuf Kemal Tengirşenk,30 Mart 1921,19 Mayıs 1921,,,,,,
Minister of Justice,3,https://tr.wikipedia.org/wiki/Refik_%C5%9Eevket_%C4%B0nce,Refik Şevket İnce,19 Mayıs 1921,9 Temmuz 1922,,,,1885,"Midilli Adası, Osmanlı İmparatorluğu","1885Midilli Adası, Osmanlı İmparatorluğu"
Minister of Justice,4,https://tr.wikipedia.org/wiki/Ahmet_Rifat_%C3%87al%C4%B1k,Ahmet Rifat Çalık,12 Temmuz 1922,4 Ağustos 1923,,,,1888,"Kayseri, Osmanlı Devleti","1888Kayseri, Osmanlı Devleti"
Minister of Justice,5,https://tr.wikipedia.org/wiki/Seyyid_Bey,Seyyid Bey,14 Ağustos 1923,27 Ekim 1923,,,,1873,"İzmir, Osmanlı Devleti","1873İzmir, Osmanlı Devleti"
Minister of Justice,1,https://tr.wikipedia.org/wiki/Seyyid_Bey,Seyyid Bey,30 Ekim 1923,6 Mart 1924,,Cumhuriyet Halk Partisi,,,,
Minister of Justice,2,https://tr.wikipedia.org/wiki/Mustafa_Necati_U%C4%9Fural,Mustafa Necati Uğural,6 Mart 1924,22 Kasım 1924,,,,1894,"İzmir, Osmanlı İmparatorluğu","Mustafa Necati1894İzmir, Osmanlı İmparatorluğu"
Minister of Justice,3,https://tr.wikipedia.org/wiki/Mahmut_Esat_Bozkurt,Mahmut Esat Bozkurt,22 Kasım 1924,27 Eylül 1930,,,,1892,"Kuşadası, Osmanlı İmparatorluğu","1892Kuşadası, Osmanlı İmparatorluğu"
Minister of Justice,4,https://tr.wikipedia.org/wiki/Yusuf_Kemal_Tengir%C5%9Fenk,Yusuf Kemal Tengirşenk,27 Eylül 1930,23 Mayıs 1933,,,,,,
Minister of Justice,5,https://tr.wikipedia.org/wiki/%C5%9E%C3%BCkr%C3%BC_Saraco%C4%9Flu,Şükrü Saracoğlu,23 Mayıs 1933,11 Kasım 1938,,,,,,
Minister of Justice,6,https://tr.wikipedia.org/wiki/Hilmi_Uran,Hilmi Uran,11 Kasım 1938,3 Ocak 1939,,,,,,
Minister of Justice,7,https://tr.wikipedia.org/wiki/Tevfik_Fikret_S%C4%B1lay,Tevfik Fikret Sılay,3 Ocak 1939,26 Mayıs 1939,,,,1890,"Konya, Osmanlı İmparatorluğu","1890Konya, Osmanlı İmparatorluğu"
Minister of Justice,8,https://tr.wikipedia.org/wiki/Ali_Fethi_Okyar,Ali Fethi Okyar,26 Mayıs 1939,12 Mart 1940,,,,1316,"Pirlepe, Osmanlı","29 Nisan 1880Pirlepe, Osmanlı"
Minister of Justice,9,https://tr.wikipedia.org/wiki/Hasan_Safyettin_Menemencio%C4%9Flu,Hasan Safyettin Menemencioğlu,12 Mart 1940,9 Mart 1943,,,,1891,"İstanbul, Osmanlı İmparatorluğu","Hasan Safyettin1891İstanbul, Osmanlı İmparatorluğu"
Minister of Justice,10,https://tr.wikipedia.org/wiki/Ali_R%C4%B1za_T%C3%BCrel,Ali Rıza Türel,9 Mart 1943,6 Nisan 1946,,,,1899,"Selanik, Osmanlı İmparatorluğu","1899Selanik, Osmanlı İmparatorluğu"
Minister of Justice,11,https://tr.wikipedia.org/wiki/M%C3%BCmtaz_%C3%96kmen,Mümtaz Ökmen,6 Nisan 1946,10 Eylül 1947,,,,1895,"Ankara, Osmanlı Devleti","1895Ankara, Osmanlı Devleti"
Minister of Justice,12,https://tr.wikipedia.org/wiki/%C5%9Einasi_Devrin,Şinasi Devrin,10 Eylül 1947,10 Haziran 1948,,,,1905,"Drama, Osmanlı İmparatorluğu","1905Drama, Osmanlı İmparatorluğu"
Minister of Justice,13,https://tr.wikipedia.org/wiki/Fuat_Sirmen,Fuat Sirmen,10 Haziran 1948,13 Ocak 1949,,,,1899,"[1], İstanbul, Osmanlı İmparatorluğu","8 Kasım 1899(1899-11-08)[1]İstanbul, Osmanlı İmparatorluğu"
Minister of Justice,14,https://tr.wikipedia.org/wiki/Ali_R%C4%B1za_Erten,Ali Rıza Erten,13 Ocak 1949,16 Ocak 1949,,,,1887,"Mersin, Osmanlı İmparatorluğu","1887Mersin, Osmanlı İmparatorluğu"
Minister of Justice,(13),https://tr.wikipedia.org/wiki/Fuat_Sirmen,Fuat Sirmen,16 Ocak 1949,22 Mayıs 1950,,,,,,
