position,#,wikipedia_link,Başkan,Görev Başlangıcı,Görev Bitişi,№,Fotoğraf,Görev süresi,Doğum tarihi,birth_year,birth_place,birth_date
President of the Constitutional Court,1,https://tr.wikipedia.org/wiki/S%C3%BCnuhi_Arsan,Sünuhi Arsan,22 Haziran 1962,13 Temmuz 1964,,,,,1315,"İstanbul, Osmanlı İmparatorluğu","1899İstanbul, Osmanlı İmparatorluğu"
President of the Constitutional Court,2,https://tr.wikipedia.org/wiki/L%C3%BBtfi_Akadl%C4%B1,Ömer Lütfi Akadlı,7 Ekim 1964,8 Temmuz 1966[a],,,,,1902,İstanbul,1902İstanbul
President of the Constitutional Court,3,https://tr.wikipedia.org/wiki/%C4%B0brahim_Hilmi_Senil,İbrahim Hilmi Senil,8 Temmuz 1966,14 Temmuz 1968,,,,,1903,"Kandiye, Girit","13 Temmuz 1903(1903-07-13)Kandiye, Girit"
President of the Constitutional Court,4,https://tr.wikipedia.org/wiki/%C4%B0smail_Hakk%C4%B1_Keteno%C4%9Flu,İsmail Hakkı Ketenoğlu,15 Aralık 1970,13 Temmuz 1971,,,,,1906,"Kastamonu, Türkiye","13 Temmuz 1906Kastamonu, Türkiye"
President of the Constitutional Court,5,https://tr.wikipedia.org/wiki/Muhittin_Taylan,Muhittin Taylan,14 Temmuz 1971,14 Temmuz 1975,,,,,1910,"Sivas, Türkiye","1910 veya 1911Sivas, Türkiye"
President of the Constitutional Court,6,https://tr.wikipedia.org/wiki/K%C3%A2ni_Vrana,Kâni Vrana,1 Ekim 1975,13 Temmuz 1978,,,,,1913,"Üsküp, Makedonya","1913Üsküp, Makedonya"
President of the Constitutional Court,7,https://tr.wikipedia.org/wiki/%C5%9Eevket_M%C3%BCft%C3%BCgil,Şevket Müftügil,24 Ekim 1978,7 Ağustos 1982,,,,,1917,"Malatya, Türkiye","1917Malatya, Türkiye"
President of the Constitutional Court,8,https://tr.wikipedia.org/wiki/Ahmet_Hamdi_Boyac%C4%B1o%C4%9Flu,Ahmet Hamdi Boyacıoğlu,9 Ağustos 1982,6 Nisan 1985,,,,,1920,"Bolu, Türkiye","1920Bolu, Türkiye"
President of the Constitutional Court,9,https://tr.wikipedia.org/wiki/Hasan_Semih_%C3%96zmert,Hasan Semih Özmert,9 Nisan 1985,27 Temmuz 1986,,,,,1921,"İstanbul, Türkiye","1921İstanbul, Türkiye"
President of the Constitutional Court,10,https://tr.wikipedia.org/wiki/Orhan_Onar,Orhan Onar,28 Temmuz 1986,1 Mart 1988,,,,,1923,"Ankara, Türkiye","1923Ankara, Türkiye"
President of the Constitutional Court,11,https://tr.wikipedia.org/wiki/Mahmut_Cuhruk,Mahmut Cuhruk,2 Mart 1988,1 Mart 1990,,,,,1925,"Yozgat, Türkiye","1925Yozgat, Türkiye"
President of the Constitutional Court,12,https://tr.wikipedia.org/wiki/Necdet_Dar%C4%B1c%C4%B1o%C4%9Flu,Necdet Darıcıoğlu,2 Mart 1990,4 Mayıs 1991,,,,,1926,"Kumluca, Antalya, Türkiye","4 Mayıs 1926(1926-05-04)Kumluca, Antalya, Türkiye"
President of the Constitutional Court,13,https://tr.wikipedia.org/wiki/Yekta_G%C3%BCng%C3%B6r_%C3%96zden,Yekta Güngör Özden,8 Mayıs 1991,31 Aralık 1997,,,,,1932,"Niksar, Türkiye","5 Haziran 1932 (93 yaşında)Niksar, Türkiye"
President of the Constitutional Court,14,https://tr.wikipedia.org/wiki/Ahmet_Necdet_Sezer,Ahmet Necdet Sezer,6 Ocak 1998,16 Mayıs 2000,,,,,1941,"Afyonkarahisar, Türkiye","13 Eylül 1941 (84 yaşında)Afyonkarahisar, Türkiye"
President of the Constitutional Court,15,https://tr.wikipedia.org/wiki/Mustafa_Bumin,Mustafa Bumin,31 Mayıs 2000,26 Haziran 2005,,,,,1940,"Mucur, Kırşehir, Türkiye","26 Haziran 1940 (85 yaşında)Mucur, Kırşehir, Türkiye"
President of the Constitutional Court,16,https://tr.wikipedia.org/wiki/T%C3%BClay_Tu%C4%9Fcu,Tülay Tuğcu[b],25 Temmuz 2005,12 Haziran 2007,,,,,1942,"Ankara, Türkiye","12 Haziran 1942 (83 yaşında)Ankara, Türkiye"
President of the Constitutional Court,17,https://tr.wikipedia.org/wiki/Ha%C5%9Fim_K%C4%B1l%C4%B1%C3%A7,Haşim Kılıç,22 Ekim 2007,10 Şubat 2015,,,,,1950,"Kırşehir, Türkiye","13 Mart 1950 (75 yaşında)Kırşehir, Türkiye"
President of the Constitutional Court,18,https://tr.wikipedia.org/wiki/Z%C3%BCht%C3%BC_Arslan,Zühtü Arslan,10 Şubat 2015,20 Nisan 2024,,,,,1964,"Sorgun, Yozgat, Türkiye","1 Ocak 1964 (62 yaşında)Sorgun, Yozgat, Türkiye"
President of the Constitutional Court,19,https://tr.wikipedia.org/wiki/Kadir_%C3%96zkaya,Kadir Özkaya,20 Nisan 2024,Görevde,,,,,1963,"Tarsus, Mersin, Türkiye","12 Ağustos 1963 (62 yaşında)Tarsus, Mersin, Türkiye"
President of the Constitutional Court,,https://tr.wikipedia.org/wiki/Yekta_G%C3%BCng%C3%B6r_%C3%96zden,Yekta Güngör Özden,,,13.,,1991-1997,5 Haziran 1932 (93 yaşında),,,
President of the Constitutional Court,,https://tr.wikipedia.org/wiki/Ahmet_Necdet_Sezer,Ahmet Necdet Sezer,,,14.,,1998-2000,13 Eylül 1941 (84 yaşında),,,
President of the Constitutional Court,,https://tr.wikipedia.org/wiki/Mustafa_Bumin,Mustafa Bumin,,,15.,,2000-2005,26 Haziran 1940 (85 yaşında),,,
President of the Constitutional Court,,https://tr.wikipedia.org/wiki/T%C3%BClay_Tu%C4%9Fcu,Tülay Tuğcu,,,16.,,2005-2007,12 Haziran 1942 (83 yaşında),,,
President of the Constitutional Court,,https://tr.wikipedia.org/wiki/Ha%C5%9Fim_K%C4%B1l%C4%B1%C3%A7,Haşim Kılıç,,,17.,,2007-2015,13 Mart 1950 (75 yaşında),,,
President of the Constitutional Court,,https://tr.wikipedia.org/wiki/Z%C3%BCht%C3%BC_Arslan,Zühtü Arslan,,,18.,,2015-2024,1 Ocak 1964 (62 yaşında),,,
