position,Portre,Hükûmet başkanıÜnvanı,Görev_süresi_1,Başbakan,wikipedia_link,Seçim,Parti,Hükûmet,Cumhurbaşkanı,column_7,column_8,column_9,#,Göreve Başlama,Görevden Ayrılma,Görev_Süresi_2,Toplam Görev Süresi,birth_year,birth_place,birth_date
Prime Minister,Başlangıç,Bitiş,Süre,,,,,,,,,,,,,,,,,
Prime Minister,Başlangıç,,Süre,Bitiş,,,,,,,,,,,,,,,,
Prime Minister,,,İsmet İnönü(1884–1973),,https://tr.wikipedia.org/wiki/%C4%B0smet_%C4%B0n%C3%B6n%C3%BC,30 Ekim 1923,22 Kasım 1924,"1 yıl, 23 gün",–,Cumhuriyet Halk Partisi,I. İnönü,Mustafa Kemal Atatürk (1923–1938),,,,,,,,
Prime Minister,,,22 Kasım 1924,Fethi Okyar(1880–1943),https://tr.wikipedia.org/wiki/Fethi_Okyar,3 Mart 1925,101 gün,–,Okyar,,,,,,,,,,,
Prime Minister,,,3 Mart 1925,İsmet İnönü(1884–1973),https://tr.wikipedia.org/wiki/%C4%B0smet_%C4%B0n%C3%B6n%C3%BC,1 Kasım 1937,"12 yıl, 243 gün",–,III. İnönü,,,,,,,,,,,
Prime Minister,,,1 Kasım 1937,Celal Bayar(1883–1986),https://tr.wikipedia.org/wiki/Celal_Bayar,25 Ocak 1939,"1 yıl, 85 gün",–,I. Bayar,,,,,,,,,1883,"[1], Bursa, Osmanlı İmparatorluğu","Mahmud Celâleddin[1]16 Mayıs 1883(1883-05-16)Bursa, Osmanlı İmparatorluğu"
Prime Minister,–,,İsmet İnönü (1938–1950),II. Bayar,,,,,,,,,,,,,,,,
Prime Minister,,,25 Ocak 1939,Refik Saydam(1881–1942),https://tr.wikipedia.org/wiki/Refik_Saydam,8 Temmuz 1942,"3 yıl, 164 gün",–,I. Saydam,,,,,,,,,,,
Prime Minister,,,9 Temmuz 1942,Şükrü Saracoğlu(1887–1953),https://tr.wikipedia.org/wiki/%C5%9E%C3%BCkr%C3%BC_Saraco%C4%9Flu,7 Ağustos 1946,"4 yıl, 29 gün",–,I. Saracoğlu,,,,,,,,,,,
Prime Minister,,,7 Ağustos 1946,Recep Peker(1889–1950),https://tr.wikipedia.org/wiki/Recep_Peker,9 Eylül 1947,"1 yıl, 33 gün",1946,Peker,,,,,,,,,,,
Prime Minister,,,10 Eylül 1947,Hasan Saka(1885–1960),https://tr.wikipedia.org/wiki/Hasan_Saka,16 Ocak 1949,"1 yıl, 128 gün",–,I. Saka,,,,,,,,,,,
Prime Minister,,,16 Ocak 1949,Şemsettin Günaltay(1883–1961),https://tr.wikipedia.org/wiki/%C5%9Eemsettin_G%C3%BCnaltay,22 Mayıs 1950,"1 yıl, 126 gün",–,Günaltay,,,,,,,,,1883,"Kemaliye, Erzincan, Osmanlı İmparatorluğu","Mehmed Şemseddin1883Kemaliye, Erzincan, Osmanlı İmparatorluğu"
Prime Minister,,,Adnan Menderes(1899–1961),,https://tr.wikipedia.org/wiki/Adnan_Menderes,22 Mayıs 1950,27 Mayıs 1960,"10 yıl, 5 gün",1950,Demokrat Parti,I. Menderes,Celâl Bayar (1950–1960),,,,,,,,
Prime Minister,,,Cemal Gürsel(1895–1966),,https://tr.wikipedia.org/wiki/Cemal_G%C3%BCrsel,30 Mayıs 1960,26 Ekim 1961,"1 yıl, 149 gün",–,Bağımsız(Askerî darbe),I. Gürsel,Cemal Gürsel (1960–1966),,,,,,,,
Prime Minister,,,İsmet İnönü(1884–1973),,https://tr.wikipedia.org/wiki/%C4%B0smet_%C4%B0n%C3%B6n%C3%BC,20 Kasım 1961,20 Şubat 1965,"3 yıl, 92 gün",1961,Cumhuriyet Halk Partisi,VIII. İnönü (CHP–AP),,,,,,,,,
Prime Minister,,,Suat Hayri Ürgüplü(1903–1981),,https://tr.wikipedia.org/wiki/Suat_Hayri_%C3%9Crg%C3%BCpl%C3%BC,20 Şubat 1965,27 Ekim 1965,249 gün,–,Bağımsız,Ürgüplü (AP–YTP–CKMP),,,,,,,,,
Prime Minister,,,Süleyman Demirel(1924–2015),,https://tr.wikipedia.org/wiki/S%C3%BCleyman_Demirel,27 Ekim 1965,26 Mart 1971,"5 yıl, 150 gün",1965,Adalet Partisi,I. Demirel,,,,,,,,,
Prime Minister,1969,,Cevdet Sunay (1966–1973),II. Demirel,,,,,,,,,,,,,,,,
Prime Minister,,,Nihat Erim(1912–1980),,https://tr.wikipedia.org/wiki/Nihat_Erim,26 Mart 1971,17 Nisan 1972,"1 yıl, 22 gün",–,Bağımsız,I. Erim,,,,,,,,,
Prime Minister,,,Ferit Melen(1906–1988),,https://tr.wikipedia.org/wiki/Ferit_Melen,17 Nisan 1972,15 Nisan 1973,363 gün,–,Cumhuriyetçi Güven Partisi,Melen,,,,,,,,,
Prime Minister,,,Naim Talu(1919–1998),,https://tr.wikipedia.org/wiki/Naim_Talu,15 Nisan 1973,25 Ocak 1974,285 gün,–,Bağımsız,Talu,Fahri Korutürk (1973–1980),,,,,,,,
Prime Minister,,,Bülent Ecevit(1925–2006),,https://tr.wikipedia.org/wiki/B%C3%BClent_Ecevit,25 Ocak 1974,17 Kasım 1974,296 gün,1973,Cumhuriyet Halk Partisi,I. Ecevit (CHP–MSP),,,,,,,,,
Prime Minister,,,Sadi Irmak(1904–1990),,https://tr.wikipedia.org/wiki/Sadi_Irmak,17 Kasım 1974,31 Mart 1975,134 gün,–,Bağımsız,Irmak,,,,,,,,,
Prime Minister,,,Süleyman Demirel(1924–2015),,https://tr.wikipedia.org/wiki/S%C3%BCleyman_Demirel,31 Mart 1975,21 Haziran 1977,"2 yıl, 82 gün",–,Adalet Partisi,IV. Demirel (AP–MSP–CGP–MHP),,,,,,,,,
Prime Minister,,,Bülent Ecevit(1925–2006),,https://tr.wikipedia.org/wiki/B%C3%BClent_Ecevit,21 Haziran 1977,21 Temmuz 1977,30 gün,1977,Cumhuriyet Halk Partisi,II. Ecevit,,,,,,,,,
Prime Minister,,,Süleyman Demirel(1924–2015),,https://tr.wikipedia.org/wiki/S%C3%BCleyman_Demirel,21 Temmuz 1977,5 Ocak 1978,168 gün,–,Adalet Partisi,V. Demirel (AP–MSP–MHP),,,,,,,,,
Prime Minister,,,Bülent Ecevit(1925–2006),,https://tr.wikipedia.org/wiki/B%C3%BClent_Ecevit,5 Ocak 1978,12 Kasım 1979,"1 yıl, 311 gün",–,Cumhuriyet Halk Partisi,III. Ecevit (CHP–CGP–DP),,,,,,,,,
Prime Minister,,,Süleyman Demirel(1924–2015),,https://tr.wikipedia.org/wiki/S%C3%BCleyman_Demirel,12 Kasım 1979,12 Eylül 1980,305 gün,–,Adalet Partisi,VI. Demirel,,,,,,,,,
Prime Minister,,,Bülent Ulusu(1923–2015),,https://tr.wikipedia.org/wiki/B%C3%BClent_Ulusu,21 Eylül 1980,13 Aralık 1983,"3 yıl, 83 gün",–,Bağımsız(Askerî darbe),Ulusu,Kenan Evren (1980–1989),,,,,,,,
Prime Minister,,,Turgut Özal(1927–1993),,https://tr.wikipedia.org/wiki/Turgut_%C3%96zal,13 Aralık 1983,31 Ekim 1989,"5 yıl, 322 gün",1983,Anavatan Partisi,I. Özal,,,,,,,,,
Prime Minister,,,9 Kasım 1989,Yıldırım Akbulut(1935–2021),https://tr.wikipedia.org/wiki/Y%C4%B1ld%C4%B1r%C4%B1m_Akbulut,23 Haziran 1991,"1 yıl, 226 gün",–,Akbulut,Turgut Özal (1989–1993),,,,,,,,,,
Prime Minister,,,23 Haziran 1991,Mesut Yılmaz(1947–2020),https://tr.wikipedia.org/wiki/Mesut_Y%C4%B1lmaz,20 Kasım 1991,150 gün,–,I. Yılmaz,,,,,,,,,,,
Prime Minister,,,Süleyman Demirel(1924–2015),,https://tr.wikipedia.org/wiki/S%C3%BCleyman_Demirel,20 Kasım 1991,16 Mayıs 1993,"1 yıl, 177 gün",1991,Doğru Yol Partisi,VII. Demirel (DYP–SHP),,,,,,,,,
