position,№,Fotoğraf,wikipedia_link,TBMM Başkanı,Göreve Başlama,Görevden Ayrılma,Parti,column_6,Dönem,Geçici TBMM Başkanı,column_4,Görev süresi,Doğum tarihi,birth_year,birth_place,birth_date
Speaker of the National Assembly,1,,https://tr.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,Mustafa Kemal Atatürk(1881–1938),24 Nisan 1920,29 Ekim 1923,,Cumhuriyet Halk Partisi,,,,,,,"Selanik, Selanik Vilayeti, Osmanlı İmparatorluğu","Ali Rıza oğlu Mustafa1881Selanik, Selanik Vilayeti, Osmanlı İmparatorluğu"
Speaker of the National Assembly,2,,https://tr.wikipedia.org/wiki/Fethi_Okyar,Fethi Okyar(1880–1943),1 Kasım 1923,22 Kasım 1924,,,,,,,,1316,"Pirlepe, Osmanlı","29 Nisan 1880Pirlepe, Osmanlı"
Speaker of the National Assembly,3,,https://tr.wikipedia.org/wiki/K%C3%A2z%C4%B1m_%C3%96zalp,Kâzım Özalp(1882–1968),26 Kasım 1924,1 Mart 1935,,,,,,,,1882,"Köprülü, Osmanlı İmparatorluğu","Kazım Fikri1882Köprülü, Osmanlı İmparatorluğu"
Speaker of the National Assembly,4,,https://tr.wikipedia.org/wiki/Abd%C3%BClhalik_Renda,Abdülhalik Renda(1881–1957),1 Mart 1935,5 Ağustos 1946,,,,,,,,1881,"Yanya, Osmanlı İmparatorluğu","Mustafa Abdülhalik29 Kasım 1881(1881-11-29)Yanya, Osmanlı İmparatorluğu"
Speaker of the National Assembly,5,,https://tr.wikipedia.org/wiki/K%C3%A2z%C4%B1m_Karabekir,Kâzım Karabekir(1882–1948),5 Ağustos 1946,26 Ocak 1948,,,,,,,,1882,"Kocamustafapaşa, İstanbul, Osmanlı İmparatorluğu","Musa Kâzım23 Temmuz 1882(1882-07-23)Kocamustafapaşa, İstanbul, Osmanlı İmparatorluğu"
Speaker of the National Assembly,6,,https://tr.wikipedia.org/wiki/Ali_Fuat_Cebesoy,Ali Fuat Cebesoy(1882–1968),30 Ocak 1948,1 Kasım 1948,,,,,,,,1317,"İstanbul, Osmanlı İmparatorluğu","Ali Fuad23 Eylül 1882İstanbul, Osmanlı İmparatorluğu"
Speaker of the National Assembly,7,,https://tr.wikipedia.org/wiki/%C5%9E%C3%BCkr%C3%BC_Saraco%C4%9Flu,Şükrü Saracoğlu(1887–1953),1 Kasım 1948,22 Mayıs 1950,,,,,,,,1886,"Ödemiş, Osmanlı İmparatorluğu","1 Temmuz 1886Ödemiş, Osmanlı İmparatorluğu"
Speaker of the National Assembly,8,,https://tr.wikipedia.org/wiki/Refik_Koraltan,Refik Koraltan(1890–1974),22 Mayıs 1950,27 Mayıs 1960,,Demokrat Parti,,,,,,1889,"Divriği, Sivas, Osmanlı İmparatorluğu","Bekir Refik1889Divriği, Sivas, Osmanlı İmparatorluğu"
Speaker of the National Assembly,−,,https://tr.wikipedia.org/wiki/K%C3%A2z%C4%B1m_Orbay,Kâzım Orbay(1886–1964),9 Ocak 1961,26 Ekim 1961,,Bağımsız,,,,,,1886,"İzmir, Osmanlı İmparatorluğu","Mehmet Kâzım11 Mart 1886(1886-03-11)İzmir, Osmanlı İmparatorluğu"
Speaker of the National Assembly,9,,https://tr.wikipedia.org/wiki/Fuat_Sirmen,Fuat Sirmen(1899–1981),1 Kasım 1961,10 Ekim 1965,,Cumhuriyet Halk Partisi,,,,,,1899,"[1], İstanbul, Osmanlı İmparatorluğu","8 Kasım 1899(1899-11-08)[1]İstanbul, Osmanlı İmparatorluğu"
